岗位名称,岗位详情地址,薪资,公司名称,工作地点,经验要求,学历要求,岗位描述,公司融资情况,公司人数,公司行业,福利待遇
数据挖掘,https://www.zhipin.com/job_detail/a9ab0c650b1677f41HR_3t-1FVRZ.html?lid=57xrNnMEsHR.search.1&securityId=uZhN9WJPTEUuL-21E_b195h5dKYNzjgWPCBZIN_kFqPKQke71350046PiBMp2Ykyt4l8S-60E1Pq-VDSPfvbsnfoCqB2ej6h--gMS3juyjHN2ReU9MQ~&sessionId=,10-15K,经权,广州,1年以内,本科,数学/统计相关专业,未融资,0-20人,投资/融资,五险一金 加班补助 年终奖
数据挖掘（算法方向）,https://www.zhipin.com/job_detail/57737eec7001c3ea1X1y39y-ElRV.html?lid=57xrNnMEsHR.search.2&securityId=qWl2XDy3vIw5g-G1hxnFl21P-loyFvx86GnBl47v1H7ZBK-xBdgiCdo8tjpK_lNFrwV4arP_0V1vExoIXovZ_3Bc4ps6b0A3SrmJTc-eKAIoYg-9KA~~&sessionId=,15-25K·13薪,某500强上市公司,广州,经验不限,本科,C/C++ Python Java 计算机相关专业 机器学习经验 用户画像/标签体系相关经验 推荐算法,,,,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 员工旅游 餐补 包吃 节日福利 零食下午茶
数据挖掘,https://www.zhipin.com/job_detail/137d441971ccb4f01nRz2921GVVV.html?lid=57xrNnMEsHR.search.5&securityId=gtfartg7Gri6T-e1ru-t3Nv31TLYc9_pdlQrpN5lawoNgozIWL45vTJP9U8g3ECSRtNdx67F8COZdZWdh2zpKED6GVPkbrfgqO2gpWE2Q-E2qmmiEA~~&sessionId=,13-24K,小鹏汽车,广州,1-3年,本科,数据挖掘 数据分析 数据开发 Python Java,已上市,10000人以上,汽车生产,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 餐补 包吃 节日福利
数据标注,https://www.zhipin.com/job_detail/59b004173fd47cf81HR_3du-E1tS.html?lid=57xrNnMEsHR.search.6&securityId=lYPidhGngWX8h-W1tSbPdvlJKHNdaRygkBcGwp4lh-pX79-7Zz-DHMX4Q8Y-rY964HsTMDMcxuba-XyjnpnGEYVkuVb4I_pjOhwIeVTms5fIJA~~&sessionId=,15-25K,某500强上市公司,广州,经验不限,大专,全职工作 数据标注,,,,五险一金 补充医疗保险 定期体检 全勤奖 年终奖 带薪年假 免费班车 包吃 节日福利
数据挖掘工程师,https://www.zhipin.com/job_detail/968ed6f2c4e293211XNz2dS6FFZX.html?lid=57xrNnMEsHR.search.8&securityId=qXbELCDlaCom9-41WoVsJHzUGYi9rHkJRzbjnBDb8cIIYTS3M-Dx7Y6VMTsV8O39v_MIPve5XVvEthbaqbFpUma47r7Sypei5xkFYm5qJ7HreRfB5H6T&sessionId=,7-12K,宜通衡睿,广州,经验不限,大专,Python 机器学习经验 大数据处理经验,未融资,100-499人,通信/网络设备,生日福利 节日福利 餐补 带薪年假 年终奖 定期体检 意外险 补充医疗保险 五险一金
数据分析,https://www.zhipin.com/job_detail/010c7e9a2c1376361XNz0920FlRZ.html?lid=57xrNnMEsHR.search.9&securityId=nY6VELxBCANHb-Y1awhp-6mXIcRT2sDDkP2hCn-Cxi1DmB74PqIqi-bHQOUTv6UfdIuaFvwJf-aTXYxtsyzPzmi9QDVc3vxGFRsC2dimWiGFEbFj&sessionId=,7-12K,安络科技,广州,1-3年,大专,Python 数学/统计相关专业 数据分析/挖掘经验,B轮,100-499人,信息安全,五险一金 补充医疗保险 定期体检 全勤奖 年终奖 股票期权 带薪年假 员工旅游 餐补 交通补助 节日福利 生日福利 生育礼金 婚嫁礼金 活动经费 股权激励
数据分析,https://www.zhipin.com/job_detail/9d1078038da5a5651HR82tu4FlpV.html?lid=57xrNnMEsHR.search.12&securityId=V7Uh6pwgxWCSI-e18Yv-92mAEUlP6OnJXbNvd8heqHKcEPec_k11oMDFEWO8Jl2d4kE_wh-BSAe_UUjAM5rn-eGAqdJqUuub1lstdEhn_O0ScelED6E8u54Fjs-lXe1p3ZMQZoM5t11s5vyOKSrkoBs~&sessionId=,5-8K,粤时代文化传媒,广州,1-3年,大专,Python R SQL 数学/统计相关专业,未融资,20-99人,广播/影视,全勤奖 带薪年假 员工旅游 零食下午茶 团建聚餐 节日福利 生日福利
数据挖掘工程师,https://www.zhipin.com/job_detail/bca065cc994b7a571n182t61EVJZ.html?lid=57xrNnMEsHR.search.13&securityId=JoAlLwY7dpkRY-t11sY4evLXZIPiaJVpVVT2017nb9954dpDMLHFyAtV9YgMizGByZu7l1wm4qUJgc6poc4WrOlAZTmrBpEfBmZslLsDKYxh1OTsq2k~&sessionId=,20-21K,腾讯,广州,5-10年,本科,Python SQL 算法设计 TensorFlow,不需要融资,10000人以上,互联网,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 员工旅游 免费班车 餐补 交通补助 包吃 节日福利 住房补贴 零食下午茶 公仔周边活动 免费健身房 免费早晚餐
挖掘机大修厂服务维修,https://www.zhipin.com/job_detail/a97e35bb711d88f01XJ839y8GVFS.html?lid=57xrNnMEsHR.search.15&securityId=Lohg_G61nZ1TY-u167Mjlflfp5PFvNT-TASvjQxeVBtDmDcOWIlGx2jk_7n4bH8WyiM1ItxZ6DghrrVCzFZxzm15E70bVKyI1k1stqTlFoFMPeXnl035D5dg6uYPmdpuVyY5TTXhtyRALLl_aCeWez0~&sessionId=,7-10K,穗恒柳工,广州,3-5年,学历不限,精密仪器 维修中心维修/保养职位 上门维修/保养职位 机械工程专业 挖掘机，挖机，钩机 会开车 公司内部维修/保养职位 重型机械,不需要融资,100-499人,机械设备/机电/重工,节日福利 交通补助 带薪年假
数据开发（Python）,https://www.zhipin.com/job_detail/a8a1cfc337e0db011HR-29-4F1pT.html?lid=57xrNnMEsHR.search.16&securityId=F5hsjx6Ujfrs9-O1tO5GFGb3qrcfgKThhqkHZoJKZ6tfZ5UDn-X_z9jXbJtsOVKyI_0CIR57Kf6tAgXy0SspRbnLK2WkmTnn2PUJ5nIGR48YWlCuVMw~&sessionId=,11-22K,神州信息,广州,1-3年,大专,Spark Hive Python 计算机相关专业 大数据开发经验 数学/统计相关专业,已上市,10000人以上,计算机软件,交通补助 通讯补贴 餐补 带薪年假 股票期权 年终奖 定期体检 意外险 补充医疗保险 五险一金 朝九晚六
数据挖掘工程师(J12867),https://www.zhipin.com/job_detail/007eb346825e4ca81XN83965EVFS.html?lid=57xrNnMEsHR.search.19&securityId=HkLUezFGjfMA_-V1if9rhe-qX6N7SnLrvTfifJjKtOz6Uo5tRklL8Q-7fbdak35SRcwKSpOAjj4jD3agaLK7GagtmyVNYsGe0qOQKXxQcFz4ZRI~&sessionId=,20-30K,浩鲸科技,广州,5-10年,本科,Python 机器学习经验 自然语言处理经验 用户画像/标签体系相关经验 机器学习 模型训练 数据挖掘,未融资,10000人以上,通信/网络设备,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 员工旅游 免费班车 餐补 通讯补贴 交通补助 节日福利 零食下午茶
大数据,https://www.zhipin.com/job_detail/b5c0bd9b82e86e021XV52dS4FlNR.html?lid=57xrNnMEsHR.search.20&securityId=2zlO7bYa2uISl-t1b3bfWBXO86zBrY8c1MGjghiB8gsRs-A4Ti0_vz3zDX4WKkrQJ3V99ztDgQhaozJQ28_hMjmCIHqDVy3myaWLH5Vl9xf1uxaEbw~~&sessionId=,7-12K,广州新华互联网学校,广州,1-3年,大专,全职 私立学校 线下教育 坐班 大班教学（25人以上） 教育学专业背景 集体授课 学科带头人 线下授课 培训师 教研 兼职 高中教育,未融资,100-499人,院校,五险一金 定期体检 年终奖 带薪年假 员工旅游 免费班车 通讯补贴 包吃 节日福利
数据挖掘工程师（J10469）,https://www.zhipin.com/job_detail/c9d6d6943e7c733f1X182tu-GFtY.html?lid=57xrNnMEsHR.search.22&securityId=78sGTwwILJI9x-B1PYYKaI3AkuJxDd6vvKTRsozk2bp1Rog9pxjGEp0nF3s7KVerR4fgS3QR4cWjJXGVK97W_dWsQjywIig07j3unT7NXYTC9_lm8w~~&sessionId=,12-20K·14薪,新心数科,广州,3-5年,本科,Python R 大数据处理经验,B轮,500-999人,互联网金融,五险一金 定期体检 年终奖 股票期权 带薪年假 员工旅游 节日福利 零食下午茶
数据挖掘工程师,https://www.zhipin.com/job_detail/b2914f040c1758541XJ83Ni1FVBQ.html?lid=57xrNnMEsHR.search.23&securityId=dR1y-GZAYAzo2-O13IUway_gPG_L20vfKMwhUUAleu9-GzPJGN8Px-jzICT3MYMQ9V8uw_X_wdHQ7dx6oq8xiCWoadIMhitCoMXNufHpjbZnwc4q5lP9&sessionId=,10-15K,职教桥,广州,1-3年,本科,Python 自然语言处理 机器学习算法 聚类分析 Pandas 数据挖掘 方案制定,未融资,100-499人,互联网,五险一金 定期体检 年终奖 绩效奖金 工龄奖 带薪年假 员工旅游 餐补 零食下午茶 团建聚餐 节日福利 生日福利
